player,fantasy_team,nba_team,sleeper_id,has_data,total_games,weeks_played,games_per_week,avg_minutes,std_minutes,min_minutes,max_minutes,minute_cv,low_min_games_pct,expected_lockin,lockin_floor,lockin_ceiling,avg_fpts,median_fpts,std_fpts,floor_10pct,ceiling_90pct,fpts_per_min,pct_60plus,pct_50plus,pct_45plus,pct_under_35,wk1_max,wk1_min,wk1_avg,wk1_games,wk2_max,wk2_min,wk2_avg,wk2_games,wk3_max,wk3_min,wk3_avg,wk3_games,wk4_max,wk4_min,wk4_avg,wk4_games,wk5_max,wk5_min,wk5_avg,wk5_games,wk6_max,wk6_min,wk6_avg,wk6_games,wk7_max,wk7_min,wk7_avg,wk7_games,wk8_max,wk8_min,wk8_avg,wk8_games,wk9_max,wk9_min,wk9_avg,wk9_games,wk10_max,wk10_min,wk10_avg,wk10_games,wk11_max,wk11_min,wk11_avg,wk11_games,wk12_max,wk12_min,wk12_avg,wk12_games,wk13_max,wk13_min,wk13_avg,wk13_games,early_games,early_avg_min,early_min_cv,early_avg_fpts,early_lockin,early_best_max,early_worst_max,mid_games,mid_avg_min,mid_min_cv,mid_avg_fpts,mid_lockin,mid_best_max,mid_worst_max,recent_games,recent_avg_min,recent_min_cv,recent_avg_fpts,recent_lockin,recent_best_max,recent_worst_max,lockin_trend,lockin_trend_pct,minutes_trend,consistency_trend,lockin_direction,consistency_direction,minutes_direction,last_3wk_avg_max,first_3wk_avg_max,short_term_trend,weeks_trending_up,weeks_trending_down,trend_ratio,minute_consistency,game_log_fpts,game_log_minutes,game_log_dates,game_log_weeks
Shai Gilgeous-Alexander,DonFryeee,OKC,1957,True,39,13,3.0,33.3,4.8,27,47,14.5,0.0,66.9,55.9,80.6,55.4,56.4,12.6,38.0,71.1,1.69,38.5,69.2,82.1,5.1,80.6,52.8,63.5,3,64.8,38.3,51.2,4,69.2,49.1,57.5,4,64.4,61.1,63.1,3,71.1,49.3,56.3,4,72.3,38.0,55.6,3,59.1,57.0,58.0,2,55.9,39.3,47.6,2,65.1,61.4,63.2,2,69.9,36.3,52.5,4,66.6,24.3,48.9,4,74.3,28.3,51.6,3,56.8,56.8,56.8,1,14,33.4,18.7,58.2,69.8,80.6,64.4,11,33,11.9,54.8,64.6,72.3,55.9,14,33.5,12.2,53.1,66.5,74.3,56.8,-3.3,-4.7,0.1,-6.5,STABLE,SAME,SAME,65.9,71.5,-5.6,6,6,0.5,CONSISTENT,52.8|80.6|57.1|46.3|38.3|64.8|55.4|69.2|50.4|49.1|61.4|64.4|61.1|63.9|49.9|49.3|54.9|71.1|72.3|56.4|38.0|57.0|59.1|55.9|39.3|65.1|61.4|69.9|54.8|36.3|49.0|66.6|64.3|40.4|24.3|28.3|74.3|52.1|56.8,47|45|29|30|35|36|29|29|38|29|35|28|29|29|29|36|30|30|37|36|36|36|29|27|37|29|37|36|35|36|29|36|29|28|36|30|42|32|34,Oct 21|Oct 23|Oct 25|Nov 02|Oct 27|Oct 28|Oct 30|Nov 04|Nov 05|Nov 07|Nov 09|Nov 11|Nov 12|Nov 15|Nov 17|Nov 19|Nov 21|Nov 23|Nov 26|Nov 28|Nov 30|Dec 02|Dec 05|Dec 10|Dec 13|Dec 18|Dec 19|Dec 22|Dec 23|Dec 25|Dec 28|Dec 29|Dec 31|Jan 02|Jan 04|Jan 05|Jan 07|Jan 11|Jan 13,1|1|1|2|2|2|2|3|3|3|3|4|4|4|5|5|5|5|6|6|6|7|7|8|8|9|9|10|10|10|10|11|11|11|11|12|12|12|13
Alperen Sengun,DonFryeee,HOU,2308,True,30,13,2.3,34.4,8.0,1,49,23.3,3.3,59.2,39.8,89.3,47.9,48.5,17.4,31.0,71.0,1.4,16.7,46.7,66.7,23.3,71.0,33.5,52.2,2,57.3,42.6,48.4,3,51.8,46.5,48.5,4,81.2,41.1,57.1,3,55.5,25.5,40.5,2,45.0,31.0,36.4,3,89.3,56.0,72.7,2,50.5,50.5,50.5,1,70.0,20.0,50.6,4,54.5,34.0,44.2,2,50.0,1.5,25.8,2,39.8,39.8,39.8,1,53.5,53.5,53.5,1,12,36.9,16.4,51.3,65.3,81.2,51.8,8,34.5,10.5,48.2,60.1,89.3,45.0,10,31.4,36.8,43.6,53.6,70.0,39.8,-11.7,-17.9,-5.5,20.4,FALLING,LESS_CONSISTENT,FEWER_MINUTES,47.8,60.0,-12.2,4,8,0.33,MODERATE,71.0|33.5|45.3|42.6|57.3|46.5|48.0|51.8|47.8|41.1|81.2|49.0|55.5|25.5|33.1|31.0|45.0|89.3|56.0|50.5|70.0|60.5|20.0|52.0|54.5|34.0|50.0|1.5|39.8|53.5,49|38|31|30|35|40|35|36|40|28|36|45|38|36|35|35|28|38|30|36|42|36|30|41|28|31|34|1|35|36,Oct 21|Oct 24|Nov 01|Oct 27|Oct 29|Nov 03|Nov 05|Nov 07|Nov 09|Nov 12|Nov 14|Nov 16|Nov 19|Nov 21|Nov 24|Nov 26|Nov 30|Dec 01|Dec 03|Dec 11|Dec 15|Dec 18|Dec 20|Dec 21|Dec 23|Dec 25|Jan 01|Jan 03|Jan 11|Jan 13,1|1|2|2|2|3|3|3|3|4|4|4|5|5|6|6|6|7|7|8|9|9|9|9|10|10|11|11|12|13
Jalen Brunson,DonFryeee,NYK,1967,True,37,13,2.8,34.5,5.6,5,39,16.3,2.7,50.8,3.0,74.3,42.4,44.1,13.6,26.3,59.4,1.21,8.1,27.0,45.9,29.7,65.0,26.3,44.9,3,51.3,38.9,45.3,3,47.4,23.9,33.7,3,52.3,37.8,45.0,2,59.4,44.1,51.8,2,48.7,30.3,39.1,4,46.8,27.3,40.2,4,64.6,51.3,57.9,2,74.3,40.3,54.7,3,44.7,38.3,41.5,2,51.5,33.3,41.9,4,51.9,17.1,38.4,4,3.0,3.0,3.0,1,11,33.9,6.7,42.0,54.0,65.0,47.4,12,36.2,7.6,44.7,54.9,64.6,46.8,14,33.6,25.5,40.8,45.1,74.3,3.0,-8.9,-16.5,-0.3,18.8,FALLING,LESS_CONSISTENT,SAME,35.5,54.6,-19.1,6,6,0.5,MODERATE,26.3|43.4|65.0|45.7|51.3|38.9|29.8|47.4|23.9|52.3|37.8|44.1|59.4|42.7|34.6|48.7|30.3|27.3|45.3|46.8|41.3|51.3|64.6|49.4|40.3|74.3|38.3|44.7|49.0|51.5|33.3|33.6|17.1|50.7|34.0|51.9|3.0,34|35|35|32|35|35|32|33|29|36|37|35|37|33|34|39|34|39|37|31|38|39|39|34|37|38|39|38|36|36|35|35|30|33|37|37|5,Oct 22|Oct 24|Oct 26|Nov 02|Oct 28|Oct 31|Nov 03|Nov 05|Nov 09|Nov 11|Nov 12|Nov 19|Nov 22|Nov 24|Nov 26|Nov 28|Nov 30|Dec 02|Dec 03|Dec 05|Dec 07|Dec 09|Dec 13|Dec 18|Dec 19|Dec 21|Dec 25|Dec 27|Dec 29|Dec 31|Jan 02|Jan 03|Jan 05|Jan 07|Jan 09|Jan 11|Jan 14,1|1|1|2|2|2|3|3|3|4|4|5|5|6|6|6|6|7|7|7|7|8|8|9|9|9|10|10|11|11|11|11|12|12|12|12|13
LaMelo Ball,DonFryeee,CHA,2179,True,30,11,2.7,27.9,5.0,12,37,17.9,3.3,50.6,31.1,88.0,38.4,36.0,16.0,18.1,58.6,1.36,6.7,23.3,30.0,50.0,88.0,30.2,59.5,3,50.8,37.1,41.7,3,,,,0,31.1,31.1,31.1,1,33.8,30.1,32.1,3,37.4,17.6,24.8,3,56.5,18.0,39.9,3,,,,0,57.4,18.1,37.8,2,48.2,26.7,39.2,3,50.6,30.8,39.2,4,58.6,16.2,33.4,4,44.4,44.4,44.4,1,7,32.4,10.8,47.8,56.6,88.0,31.1,9,26.2,25.5,32.2,42.6,56.5,33.8,14,26.6,10.4,37.7,51.8,58.6,44.4,-4.8,-8.5,-5.8,-0.4,STABLE,SAME,FEWER_MINUTES,51.2,69.4,-18.2,6,4,0.6,MODERATE,30.2|60.2|88.0|37.1|37.2|50.8|31.1|33.8|30.1|32.3|17.6|37.4|19.3|45.1|56.5|18.0|57.4|18.1|42.8|48.2|26.7|30.8|50.6|31.6|43.9|16.2|34.8|58.6|24.0|44.4,34|34|35|33|28|36|27|28|27|25|27|29|22|29|37|12|29|23|24|25|29|29|30|26|26|25|25|27|23|32,Oct 22|Oct 25|Oct 26|Nov 01|Oct 28|Oct 30|Nov 14|Nov 17|Nov 19|Nov 22|Nov 26|Nov 28|Nov 29|Dec 01|Dec 03|Dec 05|Dec 18|Dec 20|Dec 22|Dec 23|Dec 26|Dec 29|Dec 31|Jan 02|Jan 03|Jan 05|Jan 07|Jan 08|Jan 10|Jan 12,1|1|1|2|2|2|4|5|5|5|6|6|6|7|7|7|9|9|10|10|10|11|11|11|11|12|12|12|12|13
Trae Young,DonFryeee,WAS,1945,True,10,4,2.5,27.9,8.5,7,34,30.6,10.0,50.5,39.8,55.8,35.1,34.2,16.1,18.0,55.8,1.28,0.0,30.0,30.0,50.0,39.8,26.8,31.7,3,50.8,9.5,30.1,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,55.6,24.5,40.0,2,55.8,18.0,38.4,3,,,,0,,,,0,,,,0,5,27.8,42.3,31.1,45.3,50.8,39.8,0,,,,,,,5,28,18.0,39.1,55.7,55.8,55.6,10.4,23.0,0.2,-24.3,RISING,MORE_CONSISTENT,SAME,,,,3,0,1.0,VARIABLE,26.8|39.8|28.6|50.8|9.5|24.5|55.6|55.8|41.5|18.0,34|34|30|34|7|20|26|31|32|31,Oct 22|Oct 24|Oct 25|Oct 27|Oct 29|Dec 18|Dec 21|Dec 23|Dec 26|Dec 27,1|1|1|2|2|9|9|10|10|10
Paolo Banchero,DonFryeee,ORL,2458,True,30,10,3.0,33.7,6.5,12,43,19.2,3.3,45.6,18.3,66.1,38.9,38.9,15.7,18.3,59.8,1.15,6.7,26.7,43.3,40.0,38.8,7.0,27.0,3,59.8,43.5,54.0,4,45.5,34.8,38.4,3,45.1,16.0,30.6,2,,,,0,,,,0,18.3,16.4,17.4,2,33.0,30.1,31.6,2,63.0,45.8,54.4,2,39.0,22.0,27.9,4,66.1,54.6,57.9,4,47.3,18.3,36.3,4,,,,0,12,32.8,22.0,39.4,47.3,59.8,38.8,4,27.8,25.0,24.4,25.6,33.0,18.3,14,36.1,12.4,42.6,53.8,66.1,39.0,6.5,13.7,3.3,-9.6,STABLE,SAME,MORE_MINUTES,56.7,48.0,8.7,4,5,0.44,MODERATE,38.8|7.0|35.3|56.4|59.8|43.5|56.1|45.5|34.8|35.0|45.1|16.0|18.3|16.4|30.1|33.0|63.0|45.8|39.0|25.0|25.5|22.0|66.1|55.0|54.6|55.9|18.3|47.3|33.5|46.0,35|36|36|26|38|35|33|37|36|35|35|12|20|24|32|35|39|42|34|36|31|36|38|35|35|36|25|43|37|39,Oct 22|Oct 24|Oct 25|Nov 01|Oct 27|Oct 29|Oct 30|Nov 04|Nov 07|Nov 09|Nov 10|Nov 12|Dec 05|Dec 07|Dec 09|Dec 13|Dec 18|Dec 20|Dec 22|Dec 23|Dec 26|Dec 27|Dec 29|Dec 31|Jan 02|Jan 04|Jan 06|Jan 07|Jan 09|Jan 11,1|1|1|2|2|2|2|3|3|3|4|4|7|7|8|8|9|9|10|10|10|10|11|11|11|11|12|12|12|12
Norman Powell,DonFryeee,MIA,1637,True,34,12,2.8,30.9,3.7,22,39,12.1,0.0,44.2,28.4,59.2,34.9,35.5,12.5,20.1,49.9,1.12,0.0,8.8,23.5,47.1,52.4,29.6,43.6,3,,,,0,33.6,19.2,27.2,4,49.9,37.5,42.9,3,48.2,23.5,37.1,4,35.9,17.0,26.4,2,50.3,23.3,36.2,3,39.7,39.7,39.7,1,41.9,20.1,30.6,4,47.1,33.3,39.1,3,59.2,22.1,39.7,4,28.4,-1.2,13.6,2,43.7,43.7,43.7,1,10,31.4,13.4,36.8,45.3,52.4,33.6,10,30.1,9.7,35.0,43.5,50.3,35.9,14,31,13.1,33.5,44.1,59.2,28.4,-1.2,-2.6,-0.4,-0.3,STABLE,SAME,SAME,43.8,43.0,0.8,6,5,0.55,CONSISTENT,48.7|29.6|52.4|23.6|19.2|33.6|32.3|41.2|37.5|49.9|23.5|48.2|30.6|46.2|17.0|35.9|50.3|35.1|23.3|39.7|20.1|41.9|22.3|38.2|33.3|47.1|36.8|34.4|43.1|22.1|59.2|28.4|-1.2|43.7,36|25|32|28|31|27|30|39|33|33|32|28|25|29|29|33|32|32|27|34|34|33|34|35|35|33|28|28|35|25|29|31|22|32,Oct 22|Oct 24|Oct 26|Nov 03|Nov 05|Nov 07|Nov 08|Nov 10|Nov 12|Nov 14|Nov 17|Nov 19|Nov 21|Nov 23|Nov 26|Nov 29|Dec 01|Dec 05|Dec 06|Dec 09|Dec 15|Dec 18|Dec 19|Dec 21|Dec 23|Dec 26|Dec 27|Dec 29|Jan 01|Jan 03|Jan 04|Jan 06|Jan 10|Jan 13,1|1|1|3|3|3|3|4|4|4|5|5|5|5|6|6|7|7|7|8|9|9|9|9|10|10|10|11|11|11|11|12|12|13
CJ McCollum,DonFryeee,ATL,1450,True,37,13,2.8,30.6,5.6,18,43,18.4,2.7,41.9,25.5,71.5,29.4,27.9,13.4,14.6,48.2,0.94,2.7,8.1,13.5,78.4,36.2,13.3,22.5,3,25.5,21.4,24.0,3,42.6,4.5,21.2,4,57.5,14.6,34.3,3,30.1,25.1,27.7,3,71.5,19.8,45.6,2,48.2,19.5,30.2,4,41.9,27.6,34.8,2,50.3,23.3,33.5,3,32.4,22.3,27.0,3,33.5,28.9,30.4,4,45.9,17.0,31.4,2,29.1,29.1,29.1,1,13,29.5,24.0,25.2,40.5,57.5,25.5,11,31.7,14.7,33.1,47.9,71.5,30.1,13,30.8,15.9,30.4,38.2,50.3,29.1,-2.3,-5.7,1.3,-8.1,STABLE,SAME,SAME,36.2,34.8,1.4,6,6,0.5,MODERATE,18.0|13.3|36.2|21.4|25.1|25.5|5.8|4.5|31.8|42.6|57.5|14.6|30.9|25.1|30.1|27.9|71.5|19.8|48.2|19.5|28.9|24.1|41.9|27.6|23.3|50.3|26.8|26.3|32.4|22.3|33.5|28.9|28.9|30.4|45.9|17.0|29.1,29|33|30|22|40|24|22|18|28|33|43|29|32|31|26|27|37|30|36|24|31|36|37|34|29|39|34|33|31|33|28|32|31|22|38|24|27,Oct 22|Oct 24|Oct 26|Nov 01|Oct 28|Oct 30|Nov 03|Nov 05|Nov 07|Nov 08|Nov 10|Nov 12|Nov 16|Nov 19|Nov 21|Nov 22|Nov 25|Nov 28|Dec 01|Dec 02|Dec 04|Dec 06|Dec 12|Dec 14|Dec 18|Dec 20|Dec 21|Dec 23|Dec 26|Dec 28|Dec 29|Dec 31|Jan 02|Jan 04|Jan 06|Jan 11|Jan 13,1|1|1|2|2|2|3|3|3|3|4|4|4|5|5|5|6|6|7|7|7|7|8|8|9|9|9|10|10|10|11|11|11|11|12|12|13
Josh Hart,DonFryeee,NYK,1803,True,30,12,2.5,30.4,6.4,15,42,21.1,10.0,40.1,23.0,58.2,34.9,35.6,13.3,17.5,55.5,1.12,0.0,10.0,20.0,50.0,23.0,17.5,20.2,2,30.8,0.5,15.9,3,38.6,29.8,34.4,3,47.8,16.8,32.0,3,44.9,20.8,34.1,3,58.2,46.3,54.3,4,47.9,28.0,39.5,4,44.2,39.0,41.6,2,44.9,26.3,35.6,2,40.8,28.1,34.5,2,,,,0,34.4,34.4,34.4,1,26.1,26.1,26.1,1,11,24.6,23.3,26.1,35.0,47.8,23.0,13,34,10.6,43.1,48.8,58.2,44.2,6,33,15.8,33.4,36.5,44.9,26.1,1.5,4.3,8.4,-7.5,STABLE,SAME,MORE_MINUTES,30.2,30.8,-0.6,5,6,0.45,MODERATE,23.0|17.5|30.8|16.3|0.5|38.6|34.7|29.8|31.3|16.8|47.8|36.5|44.9|20.8|46.3|57.2|55.5|58.2|40.7|41.3|28.0|47.9|44.2|39.0|26.3|44.9|40.8|28.1|34.4|26.1,19|29|26|26|15|26|27|21|30|18|34|34|30|29|38|34|40|35|36|37|28|34|36|31|34|33|42|26|31|32,Oct 24|Oct 26|Nov 02|Oct 28|Oct 31|Nov 03|Nov 05|Nov 09|Nov 11|Nov 12|Nov 14|Nov 17|Nov 19|Nov 22|Nov 24|Nov 26|Nov 28|Nov 30|Dec 02|Dec 03|Dec 05|Dec 07|Dec 09|Dec 13|Dec 19|Dec 21|Dec 23|Dec 25|Jan 11|Jan 14,1|1|2|2|2|3|3|3|4|4|4|5|5|5|6|6|6|6|7|7|7|7|8|8|9|9|10|10|12|13
RJ Barrett,DonFryeee,TOR,2001,True,23,8,2.9,30.3,4.1,20,36,13.4,0.0,40.1,26.1,51.6,33.4,32.4,8.5,23.6,45.3,1.11,0.0,4.3,13.0,60.9,51.6,26.3,41.1,3,43.6,20.6,32.0,4,46.2,32.1,38.8,3,35.9,20.0,27.8,3,39.6,23.6,30.3,4,,,,0,,,,0,,,,0,,,,0,26.1,26.1,26.1,1,37.2,28.3,32.8,2,40.8,28.6,34.8,3,,,,0,13,31.5,9.5,34.7,44.3,51.6,35.9,4,29,22.0,30.3,39.6,39.6,39.6,6,28.7,14.9,32.6,34.7,40.8,26.1,-9.6,-21.7,-2.8,5.4,FALLING,SAME,SAME,39.0,47.1,-8.1,4,3,0.57,CONSISTENT,51.6|45.3|26.3|43.6|31.6|20.6|32.4|46.2|32.1|38.1|20.0|27.5|35.9|23.8|34.1|39.6|23.6|26.1|28.3|37.2|28.6|40.8|34.9,30|33|28|36|32|33|36|31|33|34|29|27|28|33|34|29|20|24|24|30|31|35|28,Oct 22|Oct 24|Oct 26|Nov 02|Oct 27|Oct 29|Oct 31|Nov 04|Nov 07|Nov 08|Nov 11|Nov 13|Nov 15|Nov 17|Nov 19|Nov 21|Nov 23|Dec 28|Dec 31|Jan 03|Jan 05|Jan 07|Jan 09,1|1|1|2|2|2|2|3|3|3|4|4|4|5|5|5|5|10|11|11|12|12|12
