player,sleeper_id,nba_team,fantasy_team,date,week,matchup,minutes,fpts,fpts_per_min,pts,reb,ast,stl,blk,tov,fgm,fga,fg_pct,ftm,fta,fg3m
Aaron Gordon,1585,DEN,MoisesNS,"Jan 04, 2026",11,DEN @ BKN,21,26.0,1.24,20,6,2,0,0,3,8,15,0.533,4,6,0
Aaron Gordon,1585,DEN,MoisesNS,"Jan 07, 2026",12,DEN @ BOS,23,23.6,1.03,12,6,2,0,0,0,5,12,0.417,0,0,2
Aaron Gordon,1585,DEN,MoisesNS,"Jan 09, 2026",12,DEN vs. ATL,24,33.8,1.41,14,9,5,0,0,1,5,11,0.455,3,4,1
Aaron Gordon,1585,DEN,MoisesNS,"Jan 11, 2026",12,DEN vs. MIL,32,36.6,1.14,23,6,4,0,0,0,7,16,0.438,7,9,2
Aaron Gordon,1585,DEN,MoisesNS,"Jan 13, 2026",13,DEN @ NOP,30,29.8,0.99,16,7,1,2,0,0,6,15,0.4,3,5,1
Aaron Gordon,1585,DEN,MoisesNS,"Jan 14, 2026",13,DEN @ DAL,30,42.9,1.43,22,6,3,0,1,0,8,12,0.667,3,5,3
Aaron Gordon,1585,DEN,MoisesNS,"Nov 03, 2025",3,DEN vs. SAC,30,34.4,1.15,20,7,1,1,0,1,6,11,0.545,5,6,3
Aaron Gordon,1585,DEN,MoisesNS,"Nov 05, 2025",3,DEN vs. MIA,31,33.3,1.07,24,6,1,1,0,3,9,16,0.563,5,6,1
Aaron Gordon,1585,DEN,MoisesNS,"Nov 07, 2025",3,DEN vs. GSW,24,27.4,1.14,18,3,1,1,0,0,6,12,0.5,3,4,3
Aaron Gordon,1585,DEN,MoisesNS,"Nov 11, 2025",4,DEN @ SAC,30,27.1,0.9,17,7,3,0,0,2,5,11,0.455,5,7,2
Aaron Gordon,1585,DEN,MoisesNS,"Nov 12, 2025",4,DEN @ LAC,31,27.1,0.87,18,5,0,1,0,1,6,12,0.5,4,4,2
Aaron Gordon,1585,DEN,MoisesNS,"Nov 15, 2025",4,DEN @ MIN,36,51.2,1.42,23,10,1,2,2,1,8,15,0.533,3,4,4
Aaron Gordon,1585,DEN,MoisesNS,"Nov 17, 2025",5,DEN vs. CHI,32,40.3,1.26,24,10,0,0,0,0,10,18,0.556,3,4,1
Aaron Gordon,1585,DEN,MoisesNS,"Nov 21, 2025",5,DEN @ HOU,3,0.0,0.0,1,2,0,0,0,1,0,1,0.0,1,2,0
Aaron Gordon,1585,DEN,MoisesNS,"Oct 23, 2025",1,DEN @ GSW,39,84.0,2.15,50,8,2,0,1,2,17,21,0.81,6,6,10
Aaron Gordon,1585,DEN,MoisesNS,"Oct 25, 2025",1,DEN vs. PHX,25,30.3,1.21,17,2,1,3,0,0,5,11,0.455,6,6,1
Aaron Gordon,1585,DEN,MoisesNS,"Oct 27, 2025",2,DEN @ MIN,33,11.5,0.35,9,3,3,0,0,2,3,10,0.3,3,3,0
Aaron Gordon,1585,DEN,MoisesNS,"Oct 29, 2025",2,DEN vs. NOP,23,23.8,1.03,9,9,3,0,0,2,2,5,0.4,4,4,1
Aaron Gordon,1585,DEN,MoisesNS,"Oct 31, 2025",2,DEN @ POR,32,19.5,0.61,14,5,1,1,0,3,5,11,0.455,4,4,0
Alex Sarr,2733,WAS,samymok,"Dec 18, 2025",9,WAS @ SAS,24,31.6,1.32,18,4,3,0,1,0,8,18,0.444,0,0,2
Alex Sarr,2733,WAS,samymok,"Dec 20, 2025",9,WAS @ MEM,26,42.1,1.62,18,11,2,0,1,0,8,16,0.5,0,0,2
Alex Sarr,2733,WAS,samymok,"Dec 23, 2025",10,WAS @ CHA,25,37.5,1.5,7,11,1,1,4,0,2,6,0.333,3,4,0
Alex Sarr,2733,WAS,samymok,"Dec 26, 2025",10,WAS vs. TOR,24,38.8,1.62,15,3,2,1,3,1,7,9,0.778,0,0,1
Alex Sarr,2733,WAS,samymok,"Dec 28, 2025",10,WAS vs. MEM,26,55.8,2.15,20,9,1,2,6,1,9,20,0.45,1,1,1
Alex Sarr,2733,WAS,samymok,"Dec 29, 2025",11,WAS vs. PHX,25,15.0,0.6,2,2,4,1,2,2,1,5,0.2,0,0,0
Alex Sarr,2733,WAS,samymok,"Dec 31, 2025",11,WAS @ MIL,28,46.8,1.67,20,11,2,0,4,2,7,15,0.467,5,6,1
Alex Sarr,2733,WAS,samymok,"Jan 02, 2026",11,WAS vs. BKN,29,45.8,1.58,19,5,4,0,4,1,8,15,0.533,2,2,1
Alex Sarr,2733,WAS,samymok,"Jan 04, 2026",11,WAS vs. MIN,26,14.8,0.57,7,3,4,1,0,2,3,10,0.3,0,0,1
Alex Sarr,2733,WAS,samymok,"Jan 06, 2026",12,WAS vs. ORL,31,54.1,1.75,23,7,2,1,5,1,7,14,0.5,7,7,2
Alex Sarr,2733,WAS,samymok,"Jan 07, 2026",12,WAS @ PHI,27,36.8,1.36,15,7,3,2,1,4,6,8,0.75,2,2,1
Alex Sarr,2733,WAS,samymok,"Jan 09, 2026",12,WAS vs. NOP,25,13.5,0.54,14,1,3,0,1,3,5,11,0.455,4,8,0
Alex Sarr,2733,WAS,samymok,"Jan 11, 2026",12,WAS @ PHX,28,50.5,1.8,19,15,1,1,3,2,7,15,0.467,5,5,0
Alex Sarr,2733,WAS,samymok,"Jan 14, 2026",13,WAS @ LAC,13,6.5,0.5,4,1,1,0,2,2,2,7,0.286,0,0,0
Alex Sarr,2733,WAS,samymok,"Jan 16, 2026",13,WAS @ SAC,28,33.0,1.18,19,4,3,0,1,2,8,12,0.667,3,4,0
Alex Sarr,2733,WAS,samymok,"Nov 01, 2025",2,WAS vs. ORL,28,29.0,1.04,10,8,2,0,3,2,4,8,0.5,2,4,0
Alex Sarr,2733,WAS,samymok,"Nov 03, 2025",3,WAS @ NYK,29,50.0,1.72,19,8,7,1,2,2,8,16,0.5,3,3,0
Alex Sarr,2733,WAS,samymok,"Nov 05, 2025",3,WAS @ BOS,29,56.2,1.94,31,8,2,0,3,2,12,20,0.6,3,4,4
Alex Sarr,2733,WAS,samymok,"Nov 07, 2025",3,WAS vs. CLE,30,44.0,1.47,20,4,4,1,4,3,10,17,0.588,0,2,0
Alex Sarr,2733,WAS,samymok,"Nov 08, 2025",3,WAS vs. DAL,31,42.0,1.35,17,6,5,2,3,2,6,16,0.375,5,6,0
Alex Sarr,2733,WAS,samymok,"Nov 10, 2025",4,WAS @ DET,37,42.8,1.16,15,15,2,1,2,3,7,16,0.438,0,0,1
Alex Sarr,2733,WAS,samymok,"Nov 12, 2025",4,WAS @ HOU,32,52.1,1.63,25,11,4,0,1,2,10,15,0.667,3,5,2
Alex Sarr,2733,WAS,samymok,"Nov 16, 2025",4,WAS vs. BKN,23,11.8,0.51,9,3,1,0,0,0,4,12,0.333,0,0,1
Alex Sarr,2733,WAS,samymok,"Nov 22, 2025",5,WAS @ CHI,28,32.1,1.15,16,11,4,0,0,1,7,18,0.389,0,3,2
Alex Sarr,2733,WAS,samymok,"Nov 25, 2025",6,WAS vs. ATL,38,56.8,1.49,27,11,0,2,2,1,11,15,0.733,4,8,1
Alex Sarr,2733,WAS,samymok,"Nov 28, 2025",6,WAS @ IND,33,41.8,1.27,24,9,1,2,2,1,8,19,0.421,7,12,1
Alex Sarr,2733,WAS,samymok,"Oct 22, 2025",1,WAS @ MIL,26,28.5,1.1,10,11,3,0,0,1,5,10,0.5,0,2,0
Alex Sarr,2733,WAS,samymok,"Oct 24, 2025",1,WAS @ DAL,26,41.5,1.6,14,9,5,1,3,4,5,10,0.5,4,4,0
Alex Sarr,2733,WAS,samymok,"Oct 26, 2025",1,WAS vs. CHA,25,47.3,1.89,23,4,5,0,3,2,9,15,0.6,4,4,1
Alex Sarr,2733,WAS,samymok,"Oct 28, 2025",2,WAS vs. PHI,34,63.4,1.86,31,11,5,2,2,5,13,23,0.565,2,2,3
Alex Sarr,2733,WAS,samymok,"Oct 30, 2025",2,WAS @ OKC,26,32.6,1.25,14,8,2,1,2,3,5,11,0.455,2,2,2
Alperen Sengun,2308,HOU,DonFryeee,"Dec 01, 2025",7,HOU @ UTA,38,89.3,2.35,31,8,14,2,5,3,12,19,0.632,6,8,1
Alperen Sengun,2308,HOU,DonFryeee,"Dec 03, 2025",7,HOU vs. SAC,30,56.0,1.87,28,10,3,4,0,3,11,20,0.55,6,7,0
Alperen Sengun,2308,HOU,DonFryeee,"Dec 11, 2025",8,HOU vs. LAC,36,50.5,1.4,22,15,5,4,0,5,9,22,0.409,4,6,0
Alperen Sengun,2308,HOU,DonFryeee,"Dec 15, 2025",9,HOU @ DEN,42,70.0,1.67,33,10,10,2,1,4,14,27,0.519,5,6,0
Alperen Sengun,2308,HOU,DonFryeee,"Dec 18, 2025",9,HOU @ NOP,36,60.5,1.68,28,11,8,2,2,2,11,26,0.423,6,10,0
Alperen Sengun,2308,HOU,DonFryeee,"Dec 20, 2025",9,HOU @ DEN,30,20.0,0.67,8,6,4,1,1,5,4,9,0.444,0,0,0
Alperen Sengun,2308,HOU,DonFryeee,"Dec 21, 2025",9,HOU @ SAC,41,52.0,1.27,28,6,3,2,2,4,12,17,0.706,4,6,0
Alperen Sengun,2308,HOU,DonFryeee,"Dec 23, 2025",10,HOU @ LAC,28,54.5,1.95,19,11,7,2,1,3,9,16,0.563,1,1,0
Alperen Sengun,2308,HOU,DonFryeee,"Dec 25, 2025",10,HOU @ LAL,31,34.0,1.1,14,12,4,1,0,6,5,7,0.714,4,4,0
Alperen Sengun,2308,HOU,DonFryeee,"Jan 01, 2026",11,HOU @ BKN,34,50.0,1.47,20,6,6,2,1,1,8,12,0.667,4,6,0
Alperen Sengun,2308,HOU,DonFryeee,"Jan 03, 2026",11,HOU @ DAL,1,1.5,1.5,0,1,0,0,0,0,0,0,0.0,0,0,0
Alperen Sengun,2308,HOU,DonFryeee,"Jan 11, 2026",12,HOU @ SAC,35,39.8,1.14,19,9,4,2,1,1,8,20,0.4,2,6,1
Alperen Sengun,2308,HOU,DonFryeee,"Jan 13, 2026",13,HOU vs. CHI,36,53.5,1.49,23,7,11,0,1,3,10,18,0.556,3,4,0
Alperen Sengun,2308,HOU,DonFryeee,"Jan 15, 2026",13,HOU vs. OKC,33,35.5,1.08,14,13,5,0,1,5,7,15,0.467,0,0,0
Alperen Sengun,2308,HOU,DonFryeee,"Jan 16, 2026",13,HOU vs. MIN,32,44.0,1.38,25,14,3,1,1,4,11,22,0.5,3,9,0
Alperen Sengun,2308,HOU,DonFryeee,"Nov 01, 2025",2,HOU @ BOS,31,45.3,1.46,16,10,9,1,2,4,5,13,0.385,5,7,1
Alperen Sengun,2308,HOU,DonFryeee,"Nov 03, 2025",3,HOU vs. DAL,40,46.5,1.16,26,11,6,1,0,3,10,20,0.5,6,11,0
