player,week,games_played,max_fpts,min_fpts,avg_fpts,avg_minutes
Aaron Gordon,1,2,84.0,30.3,57.1,32.0
Aaron Gordon,2,3,23.8,11.5,18.3,29.3
Aaron Gordon,3,3,34.4,27.4,31.7,28.3
Aaron Gordon,4,3,51.2,27.1,35.1,32.3
Aaron Gordon,5,2,40.3,0.0,20.1,17.5
Aaron Gordon,11,1,26.0,26.0,26.0,21.0
Aaron Gordon,12,3,36.6,23.6,31.3,26.3
Aaron Gordon,13,2,42.9,29.8,36.4,30.0
Alex Sarr,1,3,47.3,28.5,39.1,25.7
Alex Sarr,2,3,63.4,29.0,41.7,29.3
Alex Sarr,3,4,56.2,42.0,48.0,29.8
Alex Sarr,4,3,52.1,11.8,35.6,30.7
Alex Sarr,5,1,32.1,32.1,32.1,28.0
Alex Sarr,6,2,56.8,41.8,49.3,35.5
Alex Sarr,9,2,42.1,31.6,36.9,25.0
Alex Sarr,10,3,55.8,37.5,44.0,25.0
Alex Sarr,11,4,46.8,14.8,30.6,27.0
Alex Sarr,12,4,54.1,13.5,38.7,27.8
Alex Sarr,13,2,33.0,6.5,19.8,20.5
Alperen Sengun,1,2,71.0,33.5,52.2,43.5
Alperen Sengun,2,3,57.3,42.6,48.4,32.0
Alperen Sengun,3,4,51.8,46.5,48.5,37.8
Alperen Sengun,4,3,81.2,41.1,57.1,36.3
Alperen Sengun,5,2,55.5,25.5,40.5,37.0
Alperen Sengun,6,3,45.0,31.0,36.4,32.7
Alperen Sengun,7,2,89.3,56.0,72.7,34.0
Alperen Sengun,8,1,50.5,50.5,50.5,36.0
Alperen Sengun,9,4,70.0,20.0,50.6,37.2
Alperen Sengun,10,2,54.5,34.0,44.2,29.5
Alperen Sengun,11,2,50.0,1.5,25.8,17.5
Alperen Sengun,12,1,39.8,39.8,39.8,35.0
Alperen Sengun,13,3,53.5,35.5,44.3,33.7
Amen Thompson,1,2,31.0,6.0,18.5,34.5
Amen Thompson,2,3,43.5,36.0,39.4,32.3
Amen Thompson,3,4,59.3,27.1,42.5,38.5
Amen Thompson,4,3,47.8,24.0,34.3,35.3
Amen Thompson,5,2,48.5,38.8,43.6,41.5
Amen Thompson,6,3,53.8,26.0,37.3,35.3
Amen Thompson,7,4,51.0,20.0,38.1,34.8
Amen Thompson,8,1,54.5,54.5,54.5,41.0
Amen Thompson,9,4,55.8,38.0,44.5,42.0
Amen Thompson,10,3,49.5,29.8,40.9,33.3
Amen Thompson,11,3,52.0,46.0,49.5,36.0
Amen Thompson,12,4,55.3,30.5,45.7,38.5
Amen Thompson,13,3,36.8,26.8,30.4,39.3
Andrew Nembhard,1,1,4.5,4.5,4.5,17.0
Andrew Nembhard,3,2,31.6,22.6,27.1,31.5
